,C3,C4,C5,C7,S1,S2,S2_Prime,industry_4,C3,C5,T4,S1,S2,C6_Prime,industry_3,industry_5,Y1,Y2
0,0.5102476414999874,0.4996095532431222,0.8677616214263821,0.3029037772553662,0.10046006547022888,0.5177225048196485,0.10826114007080949,0,0.5102476414999874,0.8677616214263821,0.3827620520520692,0.10046006547022888,0.5177225048196485,0.04246210168170508,0,0,0,1
1,0.46285156653911863,0.43953417755737945,0.6758129113435132,0.3153886969463665,0.1653107439057579,0.33389453298906613,0.18627985913057776,0,0.46285156653911863,0.6758129113435132,0.5932089290010921,0.1653107439057579,0.33389453298906613,0.0,0,0,1,0
2,0.44869971152701604,0.5262620586743046,0.8655272668065379,0.31989717437731335,0.2453082419091303,0.5750445334021934,0.18040100906972587,0,0.44869971152701604,0.8655272668065379,0.38921991917577514,0.2453082419091303,0.5750445334021934,0.0,0,0,1,0
3,0.4478106097460859,0.5323161798020729,0.7562279139334294,0.3392618828387947,0.3665351935817475,0.46478127244719225,0.23342481270723464,0,0.4478106097460859,0.7562279139334294,0.4873776787978268,0.3665351935817475,0.46478127244719225,0.0,0,0,1,1
4,0.49592066308967686,0.4050512345378548,0.7957122337585361,0.388742478055315,0.14617371801385526,0.4314543413634224,0.15814761923114673,0,0.49592066308967686,0.7957122337585361,0.4667327882411568,0.14617371801385526,0.4314543413634224,0.025451893202409995,1,0,0,1
5,0.4933688613768237,0.39364816185360324,0.8332234932638869,0.3244403829752638,0.09690871853888224,0.5534641382811589,0.06000582971663438,0,0.4933688613768237,0.8332234932638869,0.39268127022616084,0.09690871853888224,0.5534641382811589,0.0,0,0,0,1
6,0.44818477797144346,0.47426096992859146,0.6502610132226891,0.29517122661625533,0.2920210983712633,0.4077699462695663,0.1708884640629615,0,0.44818477797144346,0.6502610132226891,0.6295349157581928,0.2920210983712633,0.4077699462695663,0.0,0,0,1,1
7,0.45916658459301646,0.5706633443833933,0.7587253274335524,0.40932684877015824,0.19146847363627545,0.388848805563061,0.2679408227146848,0,0.45916658459301646,0.7587253274335524,0.5328377279419507,0.19146847363627545,0.388848805563061,0.0,0,0,1,0
8,0.4784935970545583,0.43485480003658855,0.8806260498544987,0.3105979228321933,0.07167369033399978,0.5484079462652849,0.07575217219062268,0,0.4784935970545583,0.8806260498544987,0.35506332908328214,0.07167369033399978,0.5484079462652849,0.0,0,0,1,1
9,0.5085073721461839,0.42521531571162446,0.8853473674408576,0.3696728277506978,0.16202152121763702,0.5278173411885012,0.1417202233680648,0,0.5085073721461839,0.8853473674408576,0.3426658645890565,0.16202152121763702,0.5278173411885012,0.0,0,0,1,0
10,0.2352407577811636,0.5077575954020609,0.8604778729336431,0.18192101640612524,0.10823434466815758,0.5510663485640492,0.19264182728095672,0,0.2352407577811636,0.8604778729336431,0.3928546145711453,0.10823434466815758,0.5510663485640492,0.0,0,0,1,1
11,0.5126063278127059,0.526874714732388,0.8487709976789972,0.38609714156013936,0.08725585630363608,0.5261523336742304,0.22913544353581017,0,0.5126063278127059,0.8487709976789972,0.4205976308731681,0.08725585630363608,0.5261523336742304,0.06567136071134823,0,0,0,1
12,0.4322469948105992,0.44061785867502623,0.6736721422429071,0.09283559316337955,0.38510826264653003,0.336962699206389,0.37952224236067195,0,0.4322469948105992,0.6736721422429071,0.5670482323584319,0.38510826264653003,0.336962699206389,0.09503485670333621,0,0,0,1
13,0.49462578405370455,0.4870708271019422,0.8421549365544934,0.30753794682461844,0.13105674026969172,0.4221253757872123,0.13269912399960931,0,0.49462578405370455,0.8421549365544934,0.38914034707586836,0.13105674026969172,0.4221253757872123,0.0,0,0,1,1
14,0.49148710447804966,0.4145430848114391,0.9182111052091955,0.2825932781386492,0.07127438734037847,0.6665346276090403,0.026104596524039063,0,0.49148710447804966,0.9182111052091955,0.30248509776529264,0.07127438734037847,0.6665346276090403,0.0,0,0,1,1
15,0.5047404531461184,0.4637592344195162,0.8885847577298591,0.4274210094620881,0.09812456055358931,0.6278437301031163,0.10118742174419078,0,0.5047404531461184,0.8885847577298591,0.33870661988516143,0.09812456055358931,0.6278437301031163,0.0,0,1,0,1
16,0.5014770744652477,0.449203400227984,0.7960608709667838,0.42317400802517185,0.21069778098538222,0.4003051619619442,0.24886055416219427,0,0.5014770744652477,0.7960608709667838,0.46176631548399666,0.21069778098538222,0.4003051619619442,0.0,0,0,1,1
17,0.49792591678144554,0.4930239642220743,0.9108027238428633,0.2915172722307536,0.05500991326513865,0.6466638658127379,0.04135882261129735,0,0.49792591678144554,0.9108027238428633,0.3188169905992297,0.05500991326513865,0.6466638658127379,0.0,0,0,1,1
