,C3,C5,C7,S1,S2,S2_Prime,C3,S1,S2,C6_Prime,industry_3,industry_5,Y1,Y2
0,0.5102476414999874,0.8677616214263821,0.3029037772553662,0.10046006547022888,0.5177225048196485,0.10826114007080949,0.5102476414999874,0.10046006547022888,0.5177225048196485,0.04246210168170508,0,0,0,1
1,0.46285156653911863,0.6758129113435132,0.3153886969463665,0.1653107439057579,0.33389453298906613,0.18627985913057776,0.46285156653911863,0.1653107439057579,0.33389453298906613,0.0,0,0,1,0
2,0.44869971152701604,0.8655272668065379,0.31989717437731335,0.2453082419091303,0.5750445334021934,0.18040100906972587,0.44869971152701604,0.2453082419091303,0.5750445334021934,0.0,0,0,1,0
3,0.4478106097460859,0.7562279139334294,0.3392618828387947,0.3665351935817475,0.46478127244719225,0.23342481270723464,0.4478106097460859,0.3665351935817475,0.46478127244719225,0.0,0,0,1,1
4,0.49592066308967686,0.7957122337585361,0.388742478055315,0.14617371801385526,0.4314543413634224,0.15814761923114673,0.49592066308967686,0.14617371801385526,0.4314543413634224,0.025451893202409995,1,0,0,1
5,0.4933688613768237,0.8332234932638869,0.3244403829752638,0.09690871853888224,0.5534641382811589,0.06000582971663438,0.4933688613768237,0.09690871853888224,0.5534641382811589,0.0,0,0,0,1
6,0.44818477797144346,0.6502610132226891,0.29517122661625533,0.2920210983712633,0.4077699462695663,0.1708884640629615,0.44818477797144346,0.2920210983712633,0.4077699462695663,0.0,0,0,1,1
7,0.45916658459301646,0.7587253274335524,0.40932684877015824,0.19146847363627545,0.388848805563061,0.2679408227146848,0.45916658459301646,0.19146847363627545,0.388848805563061,0.0,0,0,1,0
8,0.4784935970545583,0.8806260498544987,0.3105979228321933,0.07167369033399978,0.5484079462652849,0.07575217219062268,0.4784935970545583,0.07167369033399978,0.5484079462652849,0.0,0,0,1,1
9,0.5085073721461839,0.8853473674408576,0.3696728277506978,0.16202152121763702,0.5278173411885012,0.1417202233680648,0.5085073721461839,0.16202152121763702,0.5278173411885012,0.0,0,0,1,0
10,0.2352407577811636,0.8604778729336431,0.18192101640612524,0.10823434466815758,0.5510663485640492,0.19264182728095672,0.2352407577811636,0.10823434466815758,0.5510663485640492,0.0,0,0,1,1
