I1,C5,C6,S1,C5_Prime,S2_Prime,industry_3,industry_4,market_cap,C6,T3,T4,T5,C6_Prime,industry_1,industry_2,market_cap,Y1,Y2
AATI,-0.3611851573310527,-0.3492807149880755,0.059831743592750536,0.0592679263839204,0.20903621004793385,0,0,-0.036809971015806874,-0.3492807149880755,0.2072123210524877,0.188689694929839,0.27805950729583356,1.1734297811135217,1,0,-0.036809971015806874,0,1
ABPI,0.06993482390317445,1.776142943485158,0.319447239887761,2.2939129879666647,0.8059339202170211,0,0,-1.7758235981617256,1.776142943485158,1.529155522523017,1.2698401327627178,1.4348424383817782,-0.7528092439315525,1,0,-1.7758235981617256,1,0
ACAD,0.7637915889511809,0.6816247591972318,0.028687342300081714,-0.21061092706625067,-1.005187530631667,0,0,-1.1646723686778793,0.6816247591972318,-2.004492220681546,-1.3745746316064245,-1.519869358717273,-0.7528092439315525,1,0,-1.1646723686778793,1,0
ACHN,0.9319065676277836,0.8331370564397643,0.5480366769665102,-0.2515935435855534,-0.5923827104453341,0,0,-0.7666181293676183,0.8331370564397643,-0.8529977219724513,-0.8080744827757372,-0.44850805577227565,-0.7528092439315525,1,0,-0.7666181293676183,1,1
ACLI,-0.008600913415630575,-0.014741647357180672,0.20838201409551116,-0.012335685694976449,0.4886519284825686,1,0,0.46325264272090527,-0.014741647357180672,0.5352981562369946,0.40645463101461937,0.37969660750219214,0.7232858900050497,0,0,0.46325264272090527,0,1
ACOM,-0.40299100359752565,0.13185389056033028,0.059831743592750536,0.8325666092195727,-1.5185546818175044,0,0,-0.09611861130210862,0.13185389056033028,0.6755502955918924,0.3584074616980769,0.6756717337263898,-0.7528092439315525,0,1,-0.09611861130210862,0,1
ACOR,0.6022460830068304,0.5461003588466772,0.5953313879750362,-0.15647819005120572,-0.7830137801484771,0,0,-1.2245627436396107,0.5461003588466772,0.6789670083293385,0.6494786230364935,0.3055884737632477,-0.7528092439315525,1,0,-1.2245627436396107,1,1
ACRX,0.5801686923428334,0.026955655602019058,-0.16962810407933343,-0.8605908957952026,0.6850582813633065,0,0,-1.028758411958823,0.026955655602019058,-0.14227497764010566,0.01982594753074703,-5.232018774797788,-0.7528092439315525,1,0,-1.028758411958823,1,0
ACTV,-0.6690387848437533,-0.3979660100800643,-0.06790481211322341,0.49275868345996615,-0.08986179550239312,0,0,0.41359192900479563,-0.3979660100800643,0.589328456137018,0.40050120933727446,0.9572762988101633,-0.7528092439315525,0,1,0.41359192900479563,1,1
ACW,-0.11970805239351266,-0.3979660100800643,0.571830007509367,-0.4021912042324385,0.4268815673234286,0,0,-0.10634821656637573,-0.3979660100800643,-0.6824769128453635,-0.6048813704717336,-0.6954335357808104,-0.7528092439315525,1,0,-0.10634821656637573,1,0
