,principal component 1,principal component 2,principal component 3,principal component 1_2,principal component 2_2,principal component 3_2,Y1,Y2
0,-0.09998812207158946,0.028420301797996556,-0.03509975298734999,-0.04450656353355078,-0.0031717010946639107,-0.016158787513400413,0,1
1,0.02967548235115865,-0.1331910063135648,0.028776163802587656,-0.053329789571702965,0.20788818629878883,0.033813664124916244,1,0
2,-0.04017821379544254,-0.05510988684890992,0.0073347177256489855,0.07978551170723691,-0.1636306328466354,-0.040356349920583734,1,0
3,0.1018204114224249,-0.13976778967240802,-0.003695341402528002,0.17724860473516457,-0.10046023081836525,-0.042366234893112475,1,1
4,0.02855318073276288,0.012133924110488623,-0.041995950768478965,0.0704547793534838,0.02211545997416534,0.1504651912147719,0,1
5,-0.13728193064490332,0.052636083456515,-0.04194265504932458,-0.07165754162016684,-0.034240090633561225,-0.0020104787606449025,0,1
6,0.040763804503953234,-0.1440563079189712,-0.006020027882352006,0.14221298080483283,-0.010404076134394232,-0.024026672975937302,1,1
7,0.09793596022326491,-0.105625291002299,0.05171436597923569,-0.08384722089265974,0.1640469106054604,0.030713797987892272,1,0
8,-0.17175923855266287,-0.003754304723395474,0.020403498688560867,-0.08917562966037942,-0.017431606553694797,0.0028645004683971855,1,1
9,-0.025815490953198232,0.03831655753969786,-0.046144356996869855,-0.030416328826464542,-0.031136599052117325,-0.006669649984024241,1,0
10,-0.1380814714761433,-0.056024572337709716,0.026252091300809324,0.09032286264652568,-0.15492651066733437,-0.038666190201467436,1,1
11,0.03463551933909004,0.1351557612025934,-0.08362999922785952,0.12635605752237902,-0.12394473685331886,-0.06438910381650909,0,1
12,0.15717507257622895,-0.27124943674081126,0.002015058272144171,0.2705882349246223,-4.241280168966373e-05,-0.07277513329835855,0,1
13,-0.03369830339013702,-0.033294512422561935,-0.02429962167573236,-0.014468603910527369,0.0806773078518027,0.008959504438954722,1,1
14,-0.24831466501908453,0.07173602679519762,-0.021264160382963415,-0.19087178941038763,-0.08624333638688544,0.004417659557320969,1,1
15,-0.08728793280577596,0.14490669625535732,-0.06276154996428623,-0.03399820963901124,-0.09482129497693362,-0.05270307868885751,0,1
16,0.14876886636597939,0.003423009944864204,-0.05567548884775764,0.10225617102046493,0.028172390468706086,-0.013530221193477071,1,1
17,-0.22980501263590045,0.08010130974684011,-0.023638881888214325,-0.15909584975383964,-0.0840221411032639,0.0008407953763552744,1,1
18,0.07741781751420898,0.06757384551203383,-0.09028154516794402,0.1704159292089981,-0.0616510091462157,0.2012752122124156,0,1
19,-0.03979676253471348,-0.0685497886849627,0.02760787029718257,0.027313824863845797,0.020133064822874077,-0.0053747514488238415,1,0
20,-0.15970038567066794,0.08173666627355605,-0.03435810104409211,-0.10395322112156648,-0.06655371446429591,-0.01162957190398206,0,1
21,0.30854712605433965,-0.1291905551337579,0.14134019822416302,0.3189639561886983,-0.058387855577524,-0.05300775726865392,0,1
22,-0.13311006478552154,-0.07690273824417945,-0.007325420765549106,0.05192033300810442,-0.14280673273372366,-0.0332569839419273,1,1
23,-0.08566597252084879,-0.060047620009655994,0.002417450498479908,0.0445244642943004,-0.102007958614695,-0.026477995490090847,0,1
24,-0.05553039894888623,-0.0746648797201569,0.04519643858237094,0.0696496762150734,-0.04091009202617026,-0.019695159290522908,1,1
25,0.022909113351036455,0.021530881823843964,-0.08852906972680462,0.030504452849188953,-0.028494056289369987,-0.013658330715783363,1,1
26,-0.18578292358036927,-0.0037226712790700053,0.026601791788556605,-0.10419207635180668,0.007701747825012408,0.004397471971720095,0,1
27,-0.01018234333162852,-0.018129452657684977,-0.05557644941796272,0.008542853516468206,0.023929816388367896,0.1268701425969993,1,1
28,-0.003933720922704438,-0.10256353951780703,-0.0024009974314059537,0.03910892317338281,-0.013613081369317489,-0.012083627025451476,1,1
29,-0.08731738408473548,0.04603490752622762,-0.05984418300333903,-0.04557610308599391,-0.03829542173467506,-0.005860360437087385,1,0
30,-0.20609185860379853,0.006286686396674927,0.008868332067020512,-0.11349174705235898,-0.044791021390851504,-0.007049437650342463,0,1
31,0.25687738636768137,0.12383289440283816,-0.1653210663931267,-0.12396347545109344,0.11699461145660743,0.027828673600899138,1,1
32,-0.24300360176790844,0.02317441366175163,0.015874768015044557,-0.15470633787371493,-0.03429044075695064,-0.02348445001949736,0,1
33,0.04238656632995645,-0.08082793156600689,0.041961180547562524,0.10249000571396993,0.006477305694326948,-0.016787241182714376,0,0
34,0.08695159548372046,0.07319523797148735,-0.1024799618201228,0.1441982682195904,-0.059754135733116776,-0.05969323352712308,0,1
35,-0.1716093334891672,-0.018933968343500245,0.020058797513630638,-0.07524282184518906,0.009812101124835158,-0.030786880996816684,0,1
36,-0.20710513061539806,0.011870121304573027,0.011539235541759943,-0.11693099657866934,-0.06000218037039097,-0.0035350829405689367,0,1
37,-0.019826452818503478,0.10294838207962365,-0.04922267801632878,0.02594094383550219,-0.0653386357221882,-0.05848772282674836,0,1
38,-0.015288984563658565,0.030529454401455183,-0.09460456299976108,0.03711815243044651,-0.03326335480063813,-0.022279937166011284,0,1
39,-0.3096034090385257,0.09975060150920156,0.015681021169484038,-0.24655769206312225,-0.10673808329641554,0.002147017489628949,0,1
40,0.03169785009409071,0.08541806434680987,-0.0634719228491462,0.08835626225346715,0.00027501357797166554,-0.06162549671341042,1,1
41,0.3792325436757971,-0.0972738058247657,-0.07792444867899123,0.24025622996420082,0.1489323347775604,-0.07913310021165083,0,1
42,-0.09656129308052573,-0.04652978178823487,0.021664480757232044,-0.040654674714372084,0.010701631302638785,0.0012963125300323205,1,1
43,-0.049865503279513036,-0.07227452894967795,0.028715155653882447,0.04012103381415528,0.04034825104406076,-0.003914081651045793,1,0
