,C7,S1,S2,C3_Prime,S2_Prime,industry_4,C2,C3,S2,C6_Prime,industry_3,industry_5,Y1,Y2
0,0.3029043719175012,0.10046056946243127,0.5177218100683025,0.09053362449728511,0.10826197156405643,0.0,0.136846335956101,0.510223834814303,0.5177218100683025,0.04246212700897948,0.0,0.0,0,1
1,0.3153893450631864,0.16531153372621926,0.3338935844585511,0.0,0.18628124403329524,0.0,0.0,0.46282532476092475,0.3338935844585511,0.0,0.0,0.0,1,0
2,0.3198976870945559,0.2453089688406356,0.575044235650537,0.0,0.18040202317108234,0.0,0.33275238534192,0.44867281453743624,0.575044235650537,0.0,0.0,0.0,1,0
3,0.33926229670919505,0.3665356908597326,0.46478109364233733,0.0,0.23342574890632817,0.0,0.3773100186510475,0.44778373291061674,0.46478109364233733,0.0,0.0,0.0,1,1
4,0.38874305049612945,0.1461739464772227,0.4314540815413461,0.12059089824789836,0.15814829457891177,0.0,0.18227948639540836,0.4958960906780956,0.4314540815413461,0.025451822233818006,0.18227948639540836,0.0,0,1
5,0.32444106577147847,0.09690916093196104,0.5534635679102298,0.08744298948304347,0.060006263145558236,0.0,0.13217467854897616,0.4933441828282922,0.5534635679102298,0.0,0.0,0.0,0,1
6,0.29517167744270995,0.2920221279298146,0.40776933284982153,0.0,0.1708895188635763,0.0,0.29399619075565775,0.4481578338480164,0.40776933284982153,0.0,0.0,0.0,1,1
7,0.4093278404228864,0.19146917608337372,0.38884813801693774,0.0,0.26794252122849505,0.0,0.0,0.45914018514079047,0.38884813801693774,0.0,0.0,0.0,1,0
8,0.31059853596444975,0.07167402278696125,0.5484073541853383,0.0,0.07575272694946197,0.0,0.10580558820501608,0.47846815791989633,0.5484073541853383,0.0,0.0,0.0,1,1
9,0.36967372387897857,0.16202221965440458,0.5278167725711016,0.11030490989066481,0.14172121117465586,0.0,0.16673167389822136,0.5084834611231589,0.5278167725711016,0.0,0.0,0.0,1,0
10,0.1819209350726986,0.1082347748423769,0.5510658618440198,0.0,0.19264311179876784,0.0,0.3144315470963518,0.23520304129524694,0.5510658618440198,0.0,0.0,0.0,1,1
11,0.3860975995021227,0.08725592334463948,0.526152285132363,0.23336268683208403,0.22913626579594895,0.0,0.35273997720923467,0.512582541203104,0.526152285132363,0.06567113226125929,0.0,0.0,0,1
12,0.09283601281211068,0.3851071415068328,0.3369631765656904,0.0,0.3795221570874904,0.0,0.39135106275942305,0.4322196079334851,0.3369631765656904,0.09503416383880281,0.0,0.0,0,1
