I1,C5,C6,C5_Prime,S2_Prime,industry_3,market_cap,C6,T3,C6_Prime,industry_1,industry_2,market_cap,Y1,Y2
AATI,-0.3611851573310527,-0.3492807149880755,0.0592679263839204,0.20903621004793385,0,0.036350333738721215,-0.3492807149880755,0.2072123210524877,1.1734297811135217,1,0,0.036350333738721215,0,1
ABPI,0.06993482390317445,1.776142943485158,2.2939129879666647,0.8059339202170211,0,-0.8330445444046942,1.776142943485158,1.529155522523017,-0.7528092439315525,1,0,-0.8330445444046942,1,0
ACAD,0.7637915889511809,0.6816247591972318,-0.21061092706625067,-1.005187530631667,0,-0.5451757591336194,0.6816247591972318,-2.004492220681546,-0.7528092439315525,1,0,-0.5451757591336194,1,0
ACHN,0.9319065676277836,0.8331370564397643,-0.2515935435855534,-0.5923827104453341,0,-0.32131350964981203,0.8331370564397643,-0.8529977219724513,-0.7528092439315525,1,0,-0.32131350964981203,1,1
ACLI,-0.008600913415630575,-0.014741647357180672,-0.012335685694976449,0.4886519284825686,1,0.6126167970486738,-0.014741647357180672,0.5352981562369946,0.7232858900050497,0,0,0.6126167970486738,0,1
ACOM,-0.40299100359752565,0.13185389056033028,0.8325666092195727,-1.5185546818175044,0,-0.04237419205487642,0.13185389056033028,0.6755502955918924,-0.7528092439315525,0,1,-0.04237419205487642,0,1
ACOR,0.6022460830068304,0.5461003588466772,-0.15647819005120572,-0.7830137801484771,0,-0.5019824669526568,0.5461003588466772,0.6789670083293385,-0.7528092439315525,1,0,-0.5019824669526568,1,1
ACRX,0.5801686923428334,0.026955655602019058,-0.8605908957952026,0.6850582813633065,0,-0.5086916319059019,0.026955655602019058,-0.14227497764010566,-0.7528092439315525,1,0,-0.5086916319059019,1,0
ACTV,-0.6690387848437533,-0.3979660100800643,0.49275868345996615,-0.08986179550239312,0,0.18107948516850023,-0.3979660100800643,0.589328456137018,-0.7528092439315525,0,1,0.18107948516850023,1,1
ACW,-0.11970805239351266,-0.3979660100800643,-0.4021912042324385,0.4268815673234286,0,-11.195015091958687,-0.3979660100800643,-0.6824769128453635,-0.7528092439315525,1,0,-11.195015091958687,1,0
ADLS,0.6890788086643634,0.20952225255391982,-0.7613692383669045,-0.6191618702612969,0,-0.44580686126856045,0.20952225255391982,-1.7959438116739133,-0.7528092439315525,1,0,-0.44580686126856045,1,1
ADZA,0.8413427643731112,1.0996345644763754,0.2405799920081621,-0.43738249890065434,0,-0.1976507541998012,1.0996345644763754,-1.912910383085781,0.8718436709704577,1,0,-0.1976507541998012,0,1
AFFY,0.9815266988835656,1.1194750209078428,0.06094408993917876,0.8250378305052284,0,0.034719786413068034,1.1194750209078428,-0.19799485128317668,1.022299923916974,1,0,0.034719786413068034,0,1
AGAM,-0.6009884703748678,-0.6872641847316394,-0.059395296136693365,1.4805846975242576,0,0.24165507457621496,-0.6872641847316394,1.0949643703563599,-0.7528092439315525,1,0,0.24165507457621496,1,1
AH,-1.2799903360100706,-0.2723058358375797,1.723387412757601,-1.6785357420668865,0,0.06891463656383855,-0.2723058358375797,0.9878194029441506,-0.7528092439315525,0,1,0.06891463656383855,1,1
AHII,0.28605172404696655,-0.4897169446167758,-1.1767217769530915,-1.6533728573096158,0,0.10444302076611775,-0.4897169446167758,-1.5714691861689174,-0.7528092439315525,0,0,0.10444302076611775,0,1
AIMC,0.35322243707287704,-0.2723058358375797,-0.9543918333207952,1.007830679466091,0,0.09228137987062648,-0.2723058358375797,-0.2615098442345123,-0.7528092439315525,1,0,0.09228137987062648,1,1
AIRV,-0.8788042039510764,-0.0229130200519713,1.3993216069088066,-1.393094540862929,0,-0.2926643794131253,-0.0229130200519713,0.3893573483920083,-0.7528092439315525,1,0,-0.2926643794131253,1,1
ALGT,0.6023208172746122,0.6816247591972318,0.030975767081963104,-0.8071108245295814,1,0.03522429118683057,0.6816247591972318,-0.10932943212146883,1.2505600737322131,0,0,0.03522429118683057,0,1
ALIM,-0.021067847531615565,0.3013647386389454,0.4614707396642513,0.42722349704206275,0,-0.20864308763346245,0.3013647386389454,0.4032366334687113,-0.7528092439315525,1,0,-0.20864308763346245,1,0
ALJ,-0.4799026118421713,-0.29851925931023643,0.3287642329009816,-1.6608092142159536,0,0.1837097789946541,-0.29851925931023643,0.38673378796754504,0.8718436709704577,1,0,0.1837097789946541,0,1
ALLI,1.2327980338118365,1.0046654659049115,-0.45628207873911286,1.575656592804495,0,-0.24718476763764757,1.0046654659049115,-1.4839519622683868,-0.7528092439315525,0,1,-0.24718476763764757,0,1
ALNY,0.586139362328815,0.6816247591972318,0.05535386827513845,-1.161453413158882,0,-0.59293571079045,0.6816247591972318,-1.4467605315528997,-0.7528092439315525,1,0,-0.59293571079045,1,1
ALTU,0.4751706882404497,0.20952225255391982,-0.4387973095770593,-1.1828428139357963,0,0.00717592016912719,0.20952225255391982,-0.8237055163919617,-0.7528092439315525,1,0,0.00717592016912719,0,1
ALXA,0.37798024555160215,0.5461003588466772,0.1841543585879161,0.7339641484583859,0,0.6136507082842829,0.5461003588466772,-1.0388173255513395,-0.7528092439315525,1,0,0.6136507082842829,1,1
AMBA,0.2062597970798081,0.4236270281902672,0.27782287173067877,-0.8906516968943132,0,-0.5091748253595155,0.4236270281902672,0.4192329696602864,-0.7528092439315525,1,0,-0.5091748253595155,1,1
AMIS,-1.0241076681858154,-1.6480134520833536,-0.881813930909383,1.0679105235724762,0,0.7249804234297605,-1.6480134520833536,0.18616997432870097,0.7487408084177986,1,0,0.7249804234297605,0,1
AMRC,-0.34453664997502753,-0.08589116860772107,0.42168982383392395,0.09456166524723944,1,-0.1185398072458038,-0.08589116860772107,1.0987672909655886,-0.7528092439315525,0,0,-0.1185398072458038,1,1
