I1,C4,T1,T3,T4,S2,C5_Prime,T4_Prime,industry_4,C4,T1,T4,C6_Prime,S2_Prime,T3_Prime,industry_1,industry_2,Y1,Y2
AATI,0.6540700184973925,0.18618552346086148,0.2072123210524877,0.188689694929839,0.2383905740564274,0.0592679263839204,0.12590638275510882,0,0.6540700184973925,0.18618552346086148,0.188689694929839,1.1734297811135217,0.20903621004793385,0.2629431127562838,1,0,0,1
ABPI,-0.6193068037695998,1.6352274442129469,1.529155522523017,1.2698401327627178,1.5462502022809197,2.2939129879666647,0.18765874597846252,0,-0.6193068037695998,1.6352274442129469,1.2698401327627178,-0.7528092439315525,0.8059339202170211,0.0784034539250566,1,0,1,0
ACAD,0.4031737776084051,-2.178275832665834,-2.004492220681546,-1.3745746316064245,-2.03925998058405,-0.21061092706625067,0.07472149857210969,0,0.4031737776084051,-2.178275832665834,-1.3745746316064245,-0.7528092439315525,-1.005187530631667,0.27160201339512013,1,0,1,0
ACHN,0.38240806640250574,-0.8151260559779517,-0.8529977219724513,-0.8080744827757372,-0.9936581838662966,-0.2515935435855534,-1.1945852173920153,0,0.38240806640250574,-0.8151260559779517,-0.8080744827757372,-0.7528092439315525,-0.5923827104453341,0.41320984552798584,1,0,1,1
ACLI,-1.2659029144308835,0.7329007426837292,0.5352981562369946,0.40645463101461937,0.6734759858556832,-0.012335685694976449,-0.5967490894009323,0,-1.2659029144308835,0.7329007426837292,0.40645463101461937,0.7232858900050497,0.4886519284825686,-0.10590038945678049,0,0,0,1
ACOM,-1.9460643117098881,0.4135439299247383,0.6755502955918924,0.3584074616980769,-0.11760996724864131,0.8325666092195727,0.1645493704335696,0,-1.9460643117098881,0.4135439299247383,0.3584074616980769,-0.7528092439315525,-1.5185546818175044,-2.017186459243012,0,1,0,1
ACOR,-0.09534518912446648,0.33044542662278276,0.6789670083293385,0.6494786230364935,0.06071068195484709,-0.15647819005120572,2.0808349847840173,0,-0.09534518912446648,0.33044542662278276,0.6494786230364935,-0.7528092439315525,-0.7830137801484771,-0.15967175989245835,1,0,1,1
ACRX,1.0006045750588568,-0.7646667926590107,-0.14227497764010566,0.01982594753074703,0.28395164813783924,-0.8605908957952026,3.1535264043589284,0,1.0006045750588568,-0.7646667926590107,0.01982594753074703,-0.7528092439315525,0.6850582813633065,0.02522945163072491,1,0,1,0
ACTV,-1.09846085219853,0.9572040322151711,0.589328456137018,0.40050120933727446,0.3429591083287732,0.49275868345996615,-1.1863309770009076,0,-1.09846085219853,0.9572040322151711,0.40050120933727446,-0.7528092439315525,-0.08986179550239312,0.26271191281957584,0,1,1,1
ACW,-0.9666733552592562,-0.3691116908271531,-0.6824769128453635,-0.6048813704717336,-0.2337513150492991,-0.4021912042324385,-1.491182348527334,0,-0.9666733552592562,-0.3691116908271531,-0.6048813704717336,-0.7528092439315525,0.4268815673234286,-0.12208800636564832,1,0,1,0
ADLS,0.2462632292604623,-1.5378139733006206,-1.7959438116739133,-1.2458118994299343,-1.6486380116631016,-0.7613692383669045,-1.1244677437758899,0,0.2462632292604623,-1.5378139733006206,-1.2458118994299343,-0.7528092439315525,-0.6191618702612969,0.07273246693411428,1,0,1,1
ADZA,0.37364232100562406,-2.1098794399623864,-1.912910383085781,-1.2087012087368967,-1.562928179686373,0.2405799920081621,0.773706026361162,0,0.37364232100562406,-2.1098794399623864,-1.2087012087368967,0.8718436709704577,-0.43738249890065434,-0.5050985673528503,1,0,0,1
AFFY,-0.4081262793624755,-0.15354487727666288,-0.19799485128317668,-0.31923810535460745,0.25370612438701345,0.06094408993917876,-1.004290928902903,0,-0.4081262793624755,-0.15354487727666288,-0.31923810535460745,1.022299923916974,0.8250378305052284,0.6754226766845395,1,0,0,1
AGAM,0.4800004485902157,0.9751050143946187,1.0949643703563599,0.6548510090654758,1.647457304191807,-0.059395296136693365,-0.3103547942407813,0,0.4800004485902157,0.9751050143946187,0.6548510090654758,-0.7528092439315525,1.4805846975242576,-0.18610755956422295,1,0,1,1
AH,-2.783413786249998,0.8002102465597832,0.9878194029441506,0.8258576948171641,-0.19419881517000634,1.723387412757601,1.0869930961717023,0,-2.783413786249998,0.8002102465597832,0.8258576948171641,-0.7528092439315525,-1.6785357420668865,-0.4339835919585674,0,1,1,1
AHII,-0.21091962778683587,-1.3671187787984225,-1.5714691861689174,-1.2209977026621306,-2.03925998058405,-1.1767217769530915,-1.4204132397403681,0,-0.21091962778683587,-1.3671187787984225,-1.2209977026621306,-0.7528092439315525,-1.6533728573096158,-0.2408284686386594,0,0,0,1
AIMC,-0.4081262793624755,-0.32606557832738353,-0.2615098442345123,-0.1928355479912125,0.48253029327687763,-0.9543918333207952,0.0028626296424446684,0,-0.4081262793624755,-0.32606557832738353,-0.1928355479912125,-0.7528092439315525,1.007830679466091,-0.8307265271930704,1,0,1,1
AIRV,0.8868752966288326,0.510094411045661,0.3893573483920083,0.3278797534127722,-0.5618510447289902,1.3993216069088066,-0.27284026525239313,0,0.8868752966288326,0.510094411045661,0.3278797534127722,-0.7528092439315525,-1.393094540862929,0.4624270739416183,1,0,1,1
ALGT,-0.5995199796318716,0.42443863320863867,-0.10932943212146883,-0.04409475408087579,-0.49127077100974426,0.030975767081963104,-1.4084027479092784,0,-0.5995199796318716,0.42443863320863867,-0.04409475408087579,1.2505600737322131,-0.8071108245295814,-0.39663448137845847,0,0,0,1
ALIM,1.139949898191416,0.20389667421283741,0.4032366334687113,0.155877572919717,0.5091910224125968,0.4614707396642513,-0.07979723123581718,0,1.139949898191416,0.20389667421283741,0.155877572919717,-0.7528092439315525,0.42722349704206275,0.205553487893468,1,0,1,0
ALJ,1.4033947859308589,0.8238602880236586,0.38673378796754504,0.505469877702744,-0.6104909327379503,0.3287642329009816,-0.46679751390896385,0,1.4033947859308589,0.8238602880236586,0.505469877702744,0.8718436709704577,-1.6608092142159536,-0.4764993107620781,1,0,0,1
ALLI,-0.14216375160008177,-1.2655165097320622,-1.4839519622683868,-1.1128617537103946,-0.17474385485836516,-0.45628207873911286,-1.2611474257888662,0,-0.14216375160008177,-1.2655165097320622,-1.1128617537103946,-0.7528092439315525,1.575656592804495,0.03795057724884377,0,1,0,1
