I1,C4,S2,T1,T3_Prime,T4,industry_4,C4,T4,C6_Prime,T3_Prime,industry_1,industry_2,Y1,Y2
AATI,0.029074273483673547,4.762173934797756,6.152732694704104,0.826056463168774,2.5887756556677655,0,0.029074273483673547,2.5887756556677655,2.2314431669405645,0.826056463168774,1,0,0,1
ABPI,-0.013351642245815755,5.488937726156687,6.673297967767654,0.807705371897513,2.8265826965532095,0,-0.013351642245815755,2.8265826965532095,0.0,0.807705371897513,1,0,1,0
ACAD,0.02071500183158597,3.4965075614664802,5.303304908059076,0.8269175261887148,2.244924096618746,0,0.02071500183158597,2.244924096618746,0.0,0.8269175261887148,1,0,1,0
ACHN,0.020023137256796594,4.07753744390572,5.793013608384144,0.8409993678299864,2.369529997278256,0,0.020023137256796594,2.369529997278256,0.0,0.8409993678299864,1,0,1,1
ACLI,-0.034894701316965815,5.003946305945459,6.349138991379798,0.789377730712062,2.6366746651365425,0,-0.034894701316965815,2.6366746651365425,1.7099759466766968,0.789377730712062,0,0,0,1
ACOM,-0.057556076660705446,4.564348191467836,6.234410725718371,0.5993146010071656,2.6261063346265057,0,-0.057556076660705446,2.6261063346265057,0.0,0.5993146010071656,0,1,0,1
ACOR,0.004105524336536758,4.663439094112067,6.20455776256869,0.7840305693869813,2.6901295909123975,0,0.004105524336536758,2.6901295909123975,0.0,0.7840305693869813,1,0,1,1
ACRX,0.040619988496656566,4.787491742782046,5.811140992976701,0.8024176143740532,2.551632824590253,0,0.040619988496656566,2.551632824590253,0.0,0.8024176143740532,1,0,1,0
ACTV,-0.02931592628539684,4.820281565605037,6.429719478039138,0.8260334720612402,2.63536516597464,0,-0.02931592628539684,2.63536516597464,0.0,0.8260334720612402,0,1,1,1
ACW,-0.02492507736968316,4.499809670330265,5.953243334287785,0.7877679930695397,2.414223826253783,0,-0.02492507736968316,2.414223826253783,0.0,0.7877679930695397,1,0,1,0
ADLS,0.015487112031121256,3.713572066704308,5.53338948872752,0.8071414345816643,2.2732464125922696,0,0.015487112031121256,2.2732464125922696,0.0,0.8071414345816643,1,0,1,1
ADZA,0.019731083271667373,3.7612001156935624,5.327876168789581,0.7496804523910281,2.2814091836832344,0,0.019731083271667373,2.2814091836832344,1.8820720577620569,0.7496804523910281,1,0,0,1
AFFY,-0.0063156046994000984,4.770684624465665,6.030685260261263,0.8670744761699798,2.4770531765914834,0,-0.0063156046994000984,2.4770531765914834,2.0563674454038523,0.8670744761699798,1,0,0,1
AGAM,0.023274685510332935,5.545177444479562,6.436150368369428,0.7814017264830883,2.6913112869829345,0,0.023274685510332935,2.6913112869829345,0.0,0.7814017264830883,1,0,1,1
AH,-0.08545458841445729,4.5217885770490405,6.373319789577012,0.7567523057394051,2.728925473211958,0,-0.08545458841445729,2.728925473211958,0.0,0.7567523057394051,0,1,1,1
AHII,0.0002548563257563511,3.4965075614664802,5.594711379601839,0.7759601406297745,2.278704478832458,0,0.0002548563257563511,2.278704478832458,0.0,0.7759601406297745,0,0,0,1
AIMC,-0.0063156046994000984,4.897839799950911,5.968707559985366,0.7172991829698709,2.5048563546461438,0,-0.0063156046994000984,2.5048563546461438,0.0,0.7172991829698709,1,0,1,1
AIRV,0.036830796877746964,4.31748811353631,6.269096283706261,0.8458936537328507,2.619391539239756,0,0.036830796877746964,2.619391539239756,0.0,0.8458936537328507,1,0,1,1
ALGT,-0.01269239188194706,4.356708826689592,6.238324625039508,0.7604663959327919,2.537572993164711,0,-0.01269239188194706,2.537572993164711,2.320794416806389,0.7604663959327919,0,0,0,1
ALIM,0.045262646375410436,4.912654885736052,6.159095388491933,0.8203494934553199,2.5815583865742617,0,0.045262646375410436,2.5815583865742617,0.0,0.8203494934553199,1,0,1,0
ALJ,0.05404000937680397,4.290459441148391,6.3818160174060985,0.7525244349328375,2.6584538015022856,0,0.05404000937680397,2.6584538015022856,1.8820720577620569,0.7525244349328375,1,0,0,1
ALLI,0.002545640136170962,4.532599493153256,5.631211781821365,0.8036826353390306,2.302489781167531,0,0.002545640136170962,2.302489781167531,0.0,0.8036826353390306,0,1,0,1
ALNY,0.03582773310561604,3.6635616461296463,5.5134287461649825,0.8370303304662743,2.305058100333494,0,0.03582773310561604,2.305058100333494,0.0,0.8370303304662743,1,0,1,1
ALTU,-0.0017460164572123166,3.9318256327243257,5.572154032177765,0.7937792753202437,2.384897054319773,0,-0.0017460164572123166,2.384897054319773,0.0,0.7937792753202437,1,0,0,1
ALXA,-0.003957877372461608,4.442651256490317,5.556828061699537,0.8067848061211341,2.3201751253056924,0,-0.003957877372461608,2.3201751253056924,0.0,0.8067848061211341,1,0,1,1
AMBA,-0.037115500330326075,4.477336814478207,6.212606095751519,0.8639904417095201,2.637980920550051,0,-0.037115500330326075,2.637980920550051,0.0,0.8639904417095201,1,0,1,1
AMIS,0.025763708515827013,5.198497031265826,6.267200548541362,0.0,2.6340524052903356,0,0.025763708515827013,2.6340524052903356,1.739464085489495,0.0,1,0,0,1
AMRC,0.035642375510738435,5.099866427824199,6.46302945692067,0.7964625798476241,2.753685989156313,0,0.035642375510738435,2.753685989156313,0.0,0.7964625798476241,0,0,1,1
ANAC,-0.015947285678912314,4.624972813284271,5.998936561946683,0.832303701367867,2.5592795119172456,0,-0.015947285678912314,2.5592795119172456,0.0,0.832303701367867,1,0,1,1
ANFI,-0.037115500330326075,4.465908118654584,6.359573868672378,0.8013486538744462,2.6889452937026608,0,-0.037115500330326075,2.6889452937026608,0.0,0.8013486538744462,1,0,1,0
ANGI,-0.03446512812118845,4.59511985013459,6.236369590203704,0.727296003260547,2.6521405799839615,0,-0.03446512812118845,2.6521405799839615,2.027400665191134,0.727296003260547,0,1,0,1
ANGO,0.02071500183158597,3.8501476017100584,5.796057750765372,0.774518092284842,2.3650464499470165,0,0.02071500183158597,2.3650464499470165,0.0,0.774518092284842,1,0,1,1
AONE,0.08509670457922383,5.003946305945459,6.284134161070802,0.8505214099240475,2.593058197109723,0,0.08509670457922383,2.593058197109723,3.786417676010863,0.8505214099240475,1,0,0,1
AOSL,0.016442651117707995,4.7535901911063645,5.961005339623274,0.8269209286111816,2.5485417964224686,0,0.016442651117707995,2.5485417964224686,0.0,0.8269209286111816,1,0,0,0
APEI,-0.012382727363617861,4.23410650459726,5.991464547107982,0.8086685298543662,2.480614741080058,0,-0.012382727363617861,2.480614741080058,2.008968729832627,0.8086685298543662,0,1,0,1
APKT,0.05647474671864434,5.003946305945459,6.304448802421981,0.8300189811644416,2.648316273313982,0,0.05647474671864434,2.648316273313982,3.2931687800417477,0.8300189811644416,1,0,0,1
ARAY,0.016234824406075828,4.442651256490317,6.154858094016418,0.8072361706716663,2.5987138004585693,0,0.016234824406075828,2.5987138004585693,1.4189834119703841,0.8072361706716663,1,0,0,1
ARBX,0.036866889518440776,4.0943445622221,5.7745515455444085,0.7873179398631627,2.3891980816551945,0,0.036866889518440776,2.3891980816551945,2.5543647746451774,0.7873179398631627,0,1,0,1
ARCL,0.05699491838087051,4.430816798843313,6.282266746896006,0.7613057608670105,2.650868874225654,0,0.05699491838087051,2.650868874225654,1.462008869106433,0.7613057608670105,0,1,0,1
ARCO,0.004669618127058825,4.969813299576001,6.349138991379798,0.7706883053964853,2.7473336736347798,1,0.004669618127058825,2.7473336736347798,2.777566121439121,0.7706883053964853,0,0,0,1
AREX,-0.019999416118981355,4.219507705176107,5.786897381366708,0.7798461444187377,2.4080884530367643,0,-0.019999416118981355,2.4080884530367643,0.0,0.7798461444187377,0,0,1,1
ARII,0.02925670137266296,5.5909869805108565,6.48768401848461,0.8429544956904002,2.7557872410937065,0,0.02925670137266296,2.7557872410937065,2.8655216231663623,0.8429544956904002,1,0,0,1
ARP,-0.006417682468154485,4.941642422609304,6.2285110035911835,0.8138737252705391,2.5712815906582356,0,-0.006417682468154485,2.5712815906582356,0.0,0.8138737252705391,0,1,1,1
ARST,-0.0008063218195906665,5.049856007249537,6.304448802421981,0.701036054489743,2.6671682753399955,0,-0.0008063218195906665,2.6671682753399955,0.0,0.701036054489743,0,1,1,0
ARTE,-0.004839837912175111,4.343805421853684,5.634789603169249,0.7821671125213763,2.3717559588502897,0,-0.004839837912175111,2.3717559588502897,0.0,0.7821671125213763,1,0,1,1
ARUN,0.0283099533258931,4.418840607796598,6.008813185442595,0.8366186554758888,2.557759296802023,0,0.0283099533258931,2.557759296802023,2.811442217672497,0.8366186554758888,1,0,0,1
ASPV,0.0027190288727909386,4.0943445622221,5.407171771460119,0.8563263151402564,2.168563897016068,0,0.0027190288727909386,2.168563897016068,0.0,0.8563263151402564,1,0,1,1
ATEC,-0.02246402239096419,6.633318433280377,7.234177179749849,0.8038813710363438,3.074747460521402,0,-0.02246402239096419,3.074747460521402,0.0,0.8038813710363438,1,0,1,0
ATHN,0.03469512390660059,4.31748811353631,6.115892125483034,0.7986131973520055,2.5592795119172456,0,0.03469512390660059,2.5592795119172456,2.7144176165949063,0.7986131973520055,0,1,0,1
ATRC,0.015487112031121256,3.9889840465642745,5.5134287461649825,0.8016055727314711,2.3126783696051127,0,0.015487112031121256,2.3126783696051127,0.0,0.8016055727314711,1,0,1,1
AUXL,-0.05993323169635589,3.6888794541139363,5.676753802268282,0.8302831404432326,2.307612190472001,0,-0.05993323169635589,2.307612190472001,0.0,0.8302831404432326,1,0,1,0
AVAV,0.002756461109020153,4.07753744390572,5.793013608384144,0.7425228143974844,2.436077203292199,0,0.002756461109020153,2.436077203292199,2.371262202993375,0.7425228143974844,1,0,0,1
AVEO,0.049754821648229856,4.584967478670572,6.1070228877422545,0.814628768650056,2.604308523587083,0,0.049754821648229856,2.604308523587083,0.0,0.814628768650056,1,0,1,0
AVGO,0.059353423385064455,5.780743515792329,6.733401891837359,0.7798103488203925,2.7803981823681156,0,0.059353423385064455,2.7803981823681156,1.9258567855541788,0.7798103488203925,1,0,0,1
AVNC,0.08987183041029774,3.9318256327243257,5.58724865840025,0.8156897590768418,2.3151907936421487,0,0.08987183041029774,2.3151907936421487,0.0,0.8156897590768418,1,0,1,0
AVR,-0.01458233982616616,4.31748811353631,6.16541785423142,0.7905701191836413,2.5902071060208813,0,-0.01458233982616616,2.5902071060208813,1.5346678229284634,0.7905701191836413,1,0,0,0
AVRX,-0.02469393686831301,3.6375861597263857,5.598421958998375,0.8259265851825482,2.2946976768566785,0,-0.02469393686831301,2.2946976768566785,0.0,0.8259265851825482,1,0,1,0
AWAY,0.01929958934297418,5.056245805348308,6.659293919683638,0.6978010354659582,2.87098773937074,0,0.01929958934297418,2.87098773937074,1.805165505978112,0.6978010354659582,0,1,0,1
AWK,0.00430373527330501,5.700443573390687,6.663132695990803,0.851139757712785,2.8153877964660046,0,0.00430373527330501,2.8153877964660046,0.0,0.851139757712785,0,0,1,0
AYR,0.012708623146163443,4.430816798843313,6.304448802421981,0.8249639268665344,2.6300943740879763,0,0.012708623146163443,2.6300943740879763,1.6565038123598101,0.8249639268665344,0,1,0,1
BAGL,0.002046754742247154,5.117993812416755,6.248042874508429,0.8335026647997105,2.615320972023661,1,0.002046754742247154,2.615320972023661,0.0,0.8335026647997105,0,0,1,1
BAH,-0.012062164680420817,5.087596335232384,6.448889394146858,0.7885881934652157,2.7863840504597186,0,-0.012062164680420817,2.7863840504597186,0.0,0.7885881934652157,0,1,1,1
BALT,0.04638015077402592,3.6109179126442243,5.19295685089021,0.9255431231692776,2.154434690031884,0,0.04638015077402592,2.154434690031884,0.0,0.9255431231692776,0,0,1,0
BARE,0.050890498603735436,6.354370040797351,7.158513997329321,0.768595820125182,3.0991240026497757,0,0.050890498603735436,3.0991240026497757,3.3471647504108475,0.768595820125182,1,0,0,1
BAS,0.01076544990065678,4.844187086458591,6.306275286948016,0.7987364709596252,2.575711054615307,0,0.01076544990065678,2.575711054615307,4.196691337474689,0.7987364709596252,0,0,0,1
BBBB,0.00549637470275211,4.02535169073515,5.961005339623274,0.7946971336072078,2.4928828716784346,0,0.00549637470275211,2.4928828716784346,0.0,0.7946971336072078,0,1,0,1
BBG,0.019731083271667373,5.0238805208462765,6.386879319362645,0.8056874407030415,2.650868874225654,0,0.019731083271667373,2.650868874225654,2.5344079845856546,0.8056874407030415,0,0,0,1
BBND,-0.061579848740387674,4.61512051684126,5.958424693029782,0.8112082756072186,2.532798582594292,0,-0.061579848740387674,2.532798582594292,2.6295358943292957,0.8112082756072186,1,0,0,1
BBRG,0.03611721593918047,4.59511985013459,6.1463292576688975,0.8002458676102617,2.537572993164711,1,0.03611721593918047,2.537572993164711,0.0,0.8002458676102617,0,0,1,1
BBW,0.010983105662161895,3.9512437185814275,5.87493073085203,0.80266852029021,2.445694999324504,1,0.010983105662161895,2.445694999324504,2.6034991753306884,0.80266852029021,0,0,0,1
BCOV,0.051526532500396634,4.812184355372417,6.428105272684596,0.8340659102471214,2.7075887668154737,0,0.051526532500396634,2.7075887668154737,0.0,0.8340659102471214,0,1,0,1
BDAY,0.018065909915302072,3.871201010907891,5.697093486505405,0.7890038474116144,2.41014226417523,1,0.018065909915302072,2.41014226417523,2.2045556915418465,0.7890038474116144,0,0,0,1
BDE,0.03228429921272611,4.672828834461906,5.811140992976701,0.8212508524935692,2.4532553179003713,0,0.03228429921272611,2.4532553179003713,0.0,0.8212508524935692,0,0,1,0
BEAT,-0.03834154622795221,4.727387818712341,6.171700597410915,0.7991520888451564,2.5048563546461438,0,-0.03834154622795221,2.5048563546461438,0.0,0.7991520888451564,0,1,1,0
BECN,0.019835982850230017,4.382026634673881,5.968707559985366,0.8065726886207204,2.455127320557885,0,0.019835982850230017,2.455127320557885,0.0,0.8065726886207204,0,0,0,0
