I1,C4,T1,T3,T4,S2,C5_Prime,T4_Prime,industry_4,C4,T1,T4,C6_Prime,S2_Prime,T3_Prime,industry_1,industry_2,Y1,Y2
AATI,0.029074273483673547,6.152732694704104,9.355306142226368,2.5887756556677655,4.762173934797756,1.3517920760146351,0.4101448619284744,0,0.029074273483673547,6.152732694704104,2.5887756556677655,2.2314431669405645,-4.688678282653728,0.826056463168774,1,0,0,1
ABPI,-0.013351642245815755,6.673297967767654,9.882519246099932,2.8265826965532095,5.488937726156687,2.4873064069549757,0.4157070456031108,0,-0.013351642245815755,6.673297967767654,2.8265826965532095,0.0,-4.500360482792552,0.807705371897513,1,0,1,0
ACAD,0.02071500183158597,5.303304908059076,8.473241303887054,2.244924096618746,3.4965075614664802,1.2146556193223292,0.40553451647236455,0,0.02071500183158597,5.303304908059076,2.244924096618746,0.0,-5.071758900133758,0.8269175261887148,1,0,1,0
ACHN,0.020023137256796594,5.793013608384144,8.93247660846174,2.369529997278256,4.07753744390572,1.193830679748194,0.29120501189768,0,0.020023137256796594,5.793013608384144,2.369529997278256,0.0,-4.941521349904997,0.8409993678299864,1,0,1,1
ACLI,-0.034894701316965815,6.349138991379798,9.486152271857476,2.6366746651365425,5.003946305945459,1.3154073592376931,0.34505354785075065,0,-0.034894701316965815,6.349138991379798,2.6366746651365425,1.7099759466766968,-4.6004611291865185,0.789377730712062,0,0,0,1
ACOM,-0.057556076660705446,6.234410725718371,9.542087175590064,2.6261063346265057,4.564348191467836,1.7447366879143171,0.41362552864282975,0,-0.057556076660705446,6.234410725718371,2.6261063346265057,0.0,-5.2337232883116425,0.5993146010071656,0,1,0,1
ACOR,0.004105524336536758,6.20455776256869,9.543449817892206,2.6901295909123975,4.663439094112067,1.242162671654869,0.5862299765330069,0,0.004105524336536758,6.20455776256869,2.6901295909123975,0.0,-5.001664357693566,0.7840305693869813,1,0,1,1
ACRX,0.040619988496656566,5.811140992976701,9.215924750270084,2.551632824590253,4.787491742782046,0.8843742775538389,0.6828498691240273,0,0.040619988496656566,5.811140992976701,2.551632824590253,0.0,-4.538496052720099,0.8024176143740532,1,0,1,0
ACTV,-0.02931592628539684,6.429719478039138,9.507700460979235,2.63536516597464,4.820281565605037,1.5720664164243778,0.2919484911550468,0,-0.02931592628539684,6.429719478039138,2.63536516597464,0.0,-4.782978886977015,0.8260334720612402,0,1,1,1
ACW,-0.02492507736968316,5.953243334287785,9.000483164987708,2.414223826253783,4.499809670330265,1.1173058638789977,0.2644897959183673,0,-0.02492507736968316,5.953243334287785,2.414223826253783,0.0,-4.619949323414679,0.7877679930695397,1,0,1,0
